
-------------------------------G4_Ar
-------------------------------pi+
### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.1149   1.467e-05       0.1149
    1      0.1035      0.1149    1.58e-05       0.1149
    2      0.1059      0.1149   1.703e-05       0.1149
    3      0.1084      0.1149   1.835e-05       0.1149
    4      0.1109      0.1149   1.978e-05       0.1149
    5      0.1135      0.1149   2.131e-05       0.1149
    6      0.1161      0.1149   2.296e-05       0.1149
    7      0.1189      0.1149   2.473e-05       0.1149
    8      0.1216      0.1149   2.662e-05       0.1149
    9      0.1245      0.1149   2.871e-05       0.1149
   10      0.1274      0.1149   3.095e-05       0.1149
   11      0.1303      0.1149   3.337e-05       0.1149
   12      0.1334      0.1149   3.596e-05       0.1149
   13      0.1365      0.1149   3.875e-05       0.1149
   14      0.1396      0.1149   4.176e-05       0.1149
   15      0.1429      0.1149     4.5e-05       0.1149
   16      0.1462      0.1149    4.85e-05       0.1149
   17      0.1496      0.1149   5.226e-05       0.1149
   18      0.1531      0.1149   5.631e-05       0.1149
   19      0.1567      0.1149   6.068e-05       0.1149
   20      0.1603      0.1149   6.538e-05       0.1149
   21      0.1641      0.1149   7.045e-05       0.1149
   22      0.1679      0.1149   7.591e-05        0.115
   23      0.1718      0.1149    8.18e-05        0.115
   24      0.1758      0.1149   8.815e-05        0.115
   25      0.1799      0.1149   9.497e-05        0.115
   26      0.1841      0.1149   0.0001023        0.115
   27      0.1884      0.1149   0.0001103        0.115
   28      0.1928      0.1149   0.0001188        0.115
   29      0.1972      0.1149    0.000128        0.115
   30      0.2018      0.1149   0.0001379        0.115
   31      0.2065      0.1149   0.0001486        0.115
   32      0.2113      0.1149   0.0001601        0.115
   33      0.2163      0.1149   0.0001724        0.115
   34      0.2213      0.1149   0.0001858       0.1151
   35      0.2265      0.1149   0.0002001       0.1151
   36      0.2317      0.1149   0.0002156       0.1151
   37      0.2371      0.1149   0.0002323       0.1151
   38      0.2427      0.1149   0.0002502       0.1151
   39      0.2483      0.1149   0.0002695       0.1151
   40      0.2541      0.1149   0.0002903       0.1152
   41        0.26      0.1149   0.0003127       0.1152
